,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,constellation
86742,2.76,265.86823714,4.56691684,39.78,-40.67,158.8,17.724549142666667,1991.25,Ophiucus
86929,3.61,266.43334347,-64.7237345,8.79,-11.08,-56.37,17.762222898,1991.25,Pavo
86974,3.42,266.61549553,27.72249917,119.05,-291.42,-750.0,17.774366368666666,1991.25,Hercules
87072,4.53,266.89011276,-27.83076255,3.03,-3.62,-10.67,17.792674184000003,1991.25,Sagittarius
87073,2.99,266.89617137,-40.12698197,1.82,0.44,-6.4,17.79307809133333,1991.25,Scorpius
87108,3.75,266.97322515,2.70745875,34.42,-23.15,-75.12,17.79821501,1991.25,Ophiucus
87220,4.79,267.2936388,-31.70318435,5.37,4.22,-7.89,17.81957592,1991.25,Scorpius
87261,3.19,267.4643802,-37.04337105,25.71,42.09,27.77,17.83095868,1991.25,Scorpius
87294,4.78,267.5462917,-40.09042823,0.88,3.63,-2.73,17.836419446666664,1991.25,Scorpius
87585,3.73,268.38178961,56.87245216,29.26,93.65,78.44,17.892119307333335,1991.25,Draco
87808,3.86,269.06324389,37.25052158,4.87,2.74,7.24,17.937549592666667,1991.25,Hercules
87833,2.24,269.15157439,51.48895101,22.1,-8.52,-23.05,17.943438292666666,1991.25,Draco
87846,4.85,269.19760682,-44.34219871,9.39,-3.19,-19.5,17.946507121333333,1991.25,Scorpius
87933,3.7,269.44096106,29.24792527,24.12,82.33,-18.73,17.962730737333334,1991.25,Hercules
87936,4.88,269.44919385,-41.71625842,5.96,-1.71,-15.14,17.96327959,1991.25,Scorpius
87998,4.41,269.62562385,30.18926892,4.1,-0.48,3.23,17.97504159,1991.25,Hercules
88048,3.32,269.75665662,-9.77334973,21.35,-10.31,-116.12,17.983777108,1991.25,Ophiucus
88116,4.74,269.94815306,-23.81601126,7.47,-5.4,-50.3,17.99654353733333,1991.25,Sagittarius
